id_pergunta, pergunta, complexidade_pergunta
1, "Qual o número da licitação com maior valor do ano de 2024?", "Simples"
2, "Qual o valor da licitação com maior valor do ano de 2023?", "Simples" - 
3, "Qual a ocorrência da licitação de número 681?", "Simples" 
4, "Quais licitações foram cadastradas em 2024 cujo objeto foi aquisição de livros?", "Simples"
5, "Qual foi a licitação com maior valor adjudicado em 2023?", "Simples"
6, "Em que fase a licitação 710 se encontra?", "Simples" 
7, "Quais foram as 3 licitações com os maiores valores adjudicados em 2024?", "Simples"
8, Qual o valor da licitação de número 759?, "Simples"
9, "Qual a modalidade da licitação mais recente sobre medicamentos", "Média"
10, "Qual é a média do valor estimado das licitações cadastradas em 2023?", "Média"
11, "Quantas licitações abertas em 2024 possuem valor estimado acima de 1 milhão de reais?", "Média"
12, "Quantas licitações foram realizadas pela entidade  TRIBUNAL DE JUSTIÇA no ano de 2024?", "Média"
13, "Qual foi a licitação com o maior valor adjudicado em 2023 pela entidade PREFEITURA MUNICIPAL DE PORTO ACRE?", "Média"
14, "Quantas licitações possuem valor estimado superior a 500 mil reais e inferior a 1 milhão reais cadastradas em 2023?", "Média"
15, Qual a entidade responsavel pela última licitação cadastrada?, "Média"
16, Quantas licitações existem para a modalidade "Concurso"?, "Média"
17, "Quais foram as 3 entidades que mais realizaram licitações nos últimos 5 anos e qual foi o valor total adjudicado por cada uma?", "Complexa"
18, "Quantas licitações tiveram valores estimados superiores à média de todas as licitações do mesmo ano?", "Complexa"
19, Quantas licitações por fase existem?, "Complexa"
20, Quantas licitações foram abertas por mês nos últimos 6 meses?, "Complexa"
21, Qual a entidade que mais cadastrou licitações?, "Complexa"
22, Qual a quantidade de licitações cadastradas por ano a partir de 2020?, "Complexa"
23, Qual o órgão que menos cadastrou licitações?, "Complexa"
24, Quais entidades cadastraram mais de 100 licitações em 2023, e qual foi o total adjudicado por elas?, "Complexa"