id_pergunta, sql_reference, resultado
1, SELECT TOP 1 NUMERO_LICITACAO FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2024 ORDER BY VALOR_ESTIMADO DESC;, 230
2, SELECT TOP 1 VALOR_ESTIMADO FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2023 ORDER BY VALOR_ESTIMADO DESC;, 2000233732.920
3, SELECT STATUS_OCORRENCIA_LICITACAO_ATUAL FROM dbo.LICITACAO WHERE NUMERO_LICITACAO = 681; ADJUDICADA,
4, SELECT NUMERO_LICITACAO FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2024 AND OBJETO_LICITACAO LIKE '%aquisição de livros%';, 0005
5, SELECT top 1 NUMERO_LICITACAO  FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2023 ORDER BY VALOR_ADJUDICADO DESC;, 014
6, SELECT FASE  FROM dbo.LICITACAO WHERE NUMERO_LICITACAO  = '710';, FINALIZACAO
7, SELECT TOP 3 NUMERO_LICITACAO FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2024 ORDER BY VALOR_ADJUDICADO DESC;, [008, 078, 017]
8, SELECT VALOR_ESTIMADO FROM dbo.LICITACAO WHERE NUMERO_LICITACAO = '759';, 800697.490
9, SELECT TOP 1 ml.nome  FROM dbo.LICITACAO l JOIN dbo.MODALIDADE_LICITACAO ml  ON ml.ID_MODALIDADE_LICITACAO = l.ID_MODALIDADE_LICITACAO_NOVA WHERE l.OBJETO_LICITACAO LIKE '%medicamentos%' ORDER BY l.DATA_ABERTURA DESC;, Pregão Eletrônico
10, SELECT AVG(VALOR_ESTIMADO) AS MEDIA_VALOR_ESTIMADO FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2023;, 5460484.061243
11, SELECT COUNT(*) AS TOTAL FROM dbo.LICITACAO WHERE ANO_LICITACAO = 2024 AND VALOR_ESTIMADO > 1000000;, 494
12, SELECT COUNT(*) AS QTD_LICITACOES FROM dbo.LICITACAO l JOIN dbo.ENTIDADE e ON l.ID_ENTIDADE = e.ID_ENTIDADE WHERE e.NOME = 'TRIBUNAL DE JUSTIÇA' AND l.ANO_LICITACAO = 2024;, 50
13, SELECT TOP 1 l.NUMERO_LICITACAO  FROM dbo.LICITACAO l JOIN dbo.ENTIDADE e ON l.ID_ENTIDADE = e.ID_ENTIDADE WHERE l.ANO_LICITACAO = 2023 AND e.NOME = 'PREFEITURA MUNICIPAL DE PORTO ACRE' AND l.VALOR_ADJUDICADO IS NOT NULL ORDER BY l.VALOR_ADJUDICADO DESC;, 031
14, SELECT count(*)  FROM dbo.LICITACAO where VALOR_ESTIMADO > 500000 and VALOR_ESTIMADO < 1000000 and ANO_LICITACAO = 2023;, 391
15, SELECT top 1 e.nome FROM dbo.LICITACAO l join dbo.entidade e on l.ID_ENTIDADE = e.id_entidade ORDER BY l.DATA_CADASTRO_PUBLICACAO DESC;, CÂMARA MUNICIPAL DE RIO BRANCO 
16, select count(*) from licitacao l join MODALIDADE_LICITACAO ml on l.ID_MODALIDADE_LICITACAO_NOVA = ml.ID_MODALIDADE_LICITACAO where ml.nome = 'Concurso';, 2
17, SELECT TOP 3 e.NOME, SUM(l.VALOR_ADJUDICADO) AS TOTAL_ADJUDICADO FROM dbo.LICITACAO l JOIN dbo.ENTIDADE e ON l.ID_ENTIDADE = e.ID_ENTIDADE  WHERE l.ANO_LICITACAO >= YEAR(GETDATE()) - 5 GROUP BY e.NOME ORDER BY COUNT(*) DESC;, [(SECRETARIA DE ESTADO DE SAÚDE - SESACRE, 3424702399.160), (TRIBUNAL DE JUSTIÇA, 174827196.730), (PREFEITURA MUNICIPAL DE CRUZEIRO DO SUL, 630501636.090)]
18, SELECT count(*) FROM dbo.LICITACAO L1 WHERE VALOR_ESTIMADO > ( SELECT AVG(VALOR_ESTIMADO) FROM dbo.LICITACAO L2 WHERE L2.ANO_LICITACAO = L1.ANO_LICITACAO );, 3135
19, SELECT fase, COUNT(*) AS TOTAL FROM dbo.LICITACAO l  WHERE fase IS NOT NULL  GROUP BY fase;, [(APRESENTACAO_PROPOSTAS_LANCES, 51), (DIVULGACAO_PUBLICACAO_LICITACAO, 3852), (FINALIZACAO, 15759), (PREPARATORIA, 9)]
20, SELECT FORMAT(DATA_ABERTURA, 'yyyy-MM') AS MES_ANO, COUNT(*) AS TOTAL_LICITACOES FROM dbo.LICITACAO WHERE DATA_ABERTURA >= DATEADD(MONTH, -6, GETDATE()) GROUP BY FORMAT(DATA_ABERTURA, 'yyyy-MM') ORDER BY MES_ANO;, [(2024-10, 144), (2024-11, 108), (2024-12, 1)]
21, SELECT TOP 1 e.nome, COUNT(*) AS TOTAL FROM dbo.LICITACAO l JOIN dbo.entidade e  ON e.ID_ENTIDADE = l.ID_ENTIDADE  GROUP BY e.nome ORDER BY count(*) DESC;, SECRETARIA DE ESTADO DE SAÚDE - SESACRE
22, SELECT ANO_LICITACAO, COUNT(*) AS TOTAL FROM dbo.LICITACAO WHERE ANO_LICITACAO >= 2020 GROUP BY ANO_LICITACAO ORDER BY ANO_LICITACAO;, [(2020, 1894), (2021, 2428), (2022, 2657), (2023, 2590), (2024, 1153)]
23, SELECT TOP 1 orgao FROM dbo.LICITACAO GROUP BY orgao ORDER BY count(*) ASC;, PREFEITURA  MUNICIPAL DE ASSIS BRASIL
24, SELECT  e.nome AS NOME_ENTIDADE, SUM(l.VALOR_ADJUDICADO) AS TOTAL_ADJUDICADO FROM dbo.LICITACAO l JOIN dbo.ENTIDADE e ON e.ID_ENTIDADE = l.ID_ENTIDADE WHERE l.ANO_LICITACAO = 2023 GROUP BY e.nome HAVING COUNT(*) > 100 ORDER BY count(*) DESC;, [(SECRETARIA DE ESTADO DE SAÚDE - SESACRE, 789581346.900),(TRIBUNAL DE JUSTIÇA, 60919588.880),(SECRETARIA DE ESTADO DE EDUCAÇÃO E ESPORTE - SEE, 868765434.860)]